"Based on the Turnover KPI Breakdown by sector - NACE 4 digits level (code and label);Non-Financial corporates (Subject;to NFRD);SMEs and other NFC not subject to NFRD
[GROSS] carrying amount;[GROSS] carrying amount;[GROSS] carrying amount
million €;Of which environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO);Of which environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO)
27.12 Manufacture of electricity distribution and control apparatus;47.3;43.5
27.20 Manufacture of batteries and accumulators;4.7;0.0
27.31 Manufacture of fibre optic cables;0.0;0.0
27.32 Manufacture of other electronic and electric wires and cables;;0.0
27.40 Manufacture of electric lighting equipment;4.7;0.6
27.51 Manufacture of electric domestic appliances;0.3;0.3
27.52 Manufacture of non-electric domestic appliances;0.2;0.0
27.90 Manufacture of other electrical equipment;0.0;0.0
28.11 Manufacture of engines and turbines, except aircraft, vehicle and cycle engines;1.0;0.2
28.13 Manufacture of other pumps and compressors;;0.0
28.15 Manufacture of bearings, gears, gearing and driving elements;1.0;0.0
28.21 Manufacture of ovens, furnaces and furnace burners;0.0;0.0
28.22 Manufacture of lifting and handling equipment;70.7;0.0
28.29 Manufacture of other general-purpose machinery ne.c.;19.2;0.0
28.41 Manufacture of metal forming machinery;0.7;0.7
28.49 Manufacture of other machine tools;0.3;0.0"
