";Based on the Turnover KPI Breakdown by sector - NACE 4 digits level (code and label)” ;TOTAL (CCM + CCA) ;Non-Financial corporates (Subject to NFRD) ;SMEs and other NFC not subject to NFRD
;[Gross] carrying amount ;[Gross] carrying amount ;Of which environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO) ;Of which environmentally sustainable (CCM + CCA + WTR + CE + PPC + BIO)
88;28.91 Manufacture of machinery for metallurgy;1.6;0.5;;
89;28.92 Manufacture of machinery for mining, quarrying and construction;;; ;
90;28.93 Manufacture of machinery for food, beverage and tobacco processing;0.7;0.0;;
91;28.95 Manufacture of machinery for paper and paperboard production;42.1;11.3;;
92;28.99 Manufacture of other special-purpose machinery n.e.c.;2.6;0.5;;
93;29.10 Manufacture of motor vehicles;317.5;33.3;;
94;29.20 Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers;32.0;;;
95;30.11 Building of ships and floating structures;15.4;;;
96;30.12 Building of pleasure and sporting boats;;; ;
97;30.20 Manufacture of railway locomotives and rolling stock;72.6;43.2;;
98;30.40 Manufacture of military fighting vehicles;44.2;;;
99;30.99 Manufacture of other transport equipment n.e.c.;16.1;0.0;;
100;31.09 Manufacture of other furniture;0.5;;;
101;32.40 Manufacture of games and toys;0.2;;;
102;32.50 Manufacture of medical and dental instruments and supplies;0.1;;;
103;32.99 Other manufacturing n.e.c.;6.8;0.0;;
104;35.11 Production of electricity;3223.5;2986.5;;"
