"Based on the Turnover KPI Breakdown by sector - NACE 4 level (code and label);Climate Change Mitigation (CCM);Climate Change Adaptation (CCA);Non-Financial corporates (Subject to NFRD);SMEs and other NFC not subject to NFRD;Non-Financial corporates (Subject to NFRD);SMEs and other NFC not subject to NFRD
(Gross) carrying million €;amount Of which environ- mentally sustainable;(Gross) carrying million €;amount Of which environ- mentally sustainable;(Gross) carrying million €;amount Of which environ- mentally sustainable;(Gross) carrying million €;amount Of which environ- mentally sustainable
(CCM) (CCM) (CCA) (CCA) 13.95 Manufacture of non- articles;0.0;;0.0;;0.0;;
wovens and made from non-wovens, except apparel;0.0;;0.0;;0.0;;
13.96 Manufacture of;0.0;;0.0;;0.0;;
other technical and industrial textiles;0.0;;0.0;;0.0;;
13.99 Manufacture of other textiles n.e.c.;0.0;;0.0;;0.0;;
14.19 Manufacture of;5.7;;5.7;;5.7;;
other wearing apparel and accessories;5.7;;5.7;;5.7;;
15.20 Manufacture of footwear;0.0;;0.0;;0.0;;
16.23 Manufacture of;0.0;;0.0;;0.0;;
other builders’ carpentry and joinery;0.0;0.0;;0.0;;0.0;;
16.29 Manufacture of other products of wood;0.2;;0.2;;0.2;;
manufacture of articles of cork, straw and plaiting materials;0.2;;0.2;;0.2;;
17.11 Manufacture of pulp;0.1;0.1;;0.1;;0.1;;
17.12 Manufacture of;0.2;;0.2;;0.2;;
household and sanitary goods and of toilet;0.2;;0.2;;0.2;;
requisites 17.24 Manufacture of;0.0;;0.0;;0.0;;
wallpaper;0.0;;0.0;;0.0;;
17.29 Manufacture of other articles of paper and;0.0;;0.0;;0.0;;
paperboard;0.0;;0.0;;0.0;;
18.12 Other printing;0.5;;0.5;;0.5;;
20.13 Manufacture of other inorganic basic;0.9;0.0;;0.0;;0.0;;
chemicals;0.9;0.0;;0.0;;0.0;;
20.14 Manufacture of other organic basic;0.0;;0.0;;0.0;;
chemicals;0.0;;0.0;;0.0;;"
