"Non-Financial corporates (Subject to NFRD);amount Of which environ- mentally sustainable;SMEs and other NFC not subject to NFRD;amount Of which environ- mentally sustainable;Non-Financial corporates (Subject to NFRD);amount Of which environ- mentally sustainable;SMEs and other NFC not subject to NFRD;amount Of which environ- mentally sustainable
[GROSS] carrying million €; ;[GROSS] carrying million €; ;[GROSS] carrying million €; ;[GROSS] carrying million €
;Based on the CapEx KPI Breakdown by sector - NACE 4 digits level (code and label);Climate Change Mitigation (CCM); ;Climate Change Adaptation (CCA); ; ; ; 
20.16 Manufacture of;plastics in primary forms;113.3;12.5;x;x; ;x;x
20.20 Manufacture of;pesticides and other agrochemical products;0.5; ;x;x; ;x;x
20.30 Manufacture of;paints, varnishes and similar coatings, printing ink and mastics;1.0; ;x;x; ;x;x
20.42 Manufacture of;perfumes and toilet preparations;0.0; ;x;x; ;x;x
20.59 Manufacture of;other chemical products n.e.c.;44.6;0.1;x;x; ;x;x
21.10 Manufacture of;basic pharmaceutical products;6.4;0.0;x;x; ;x;x
21.20 Manufacture of;pharmaceutical preparations;2.9; ;x;x; ;x;x
22.11 Manufacture of;rubber tyres and tubes; ;retreading and rebuilding of rubber tyres;x;x; ;x;x
22.19 Manufacture of;other rubber products;0.1;0.1;x;x; ;x;x
22.21 Manufacture of;plastic plates, sheets, tubes and profiles;1.4; ;x;x; ;x;x
22.22 Manufacture of;plastic packing goods;1.0; ;x;x; ;x;x
22.29 Manufacture of;other plastic products;4.1; ;x;x; ;x;x
23.13 Manufacture of;hollow glass;1.5;0.4;x;x; ;x;x
23.32 Manufacture of;bricks, tiles and construction products, in baked clay;8.3;7.0;x;x; ;x;x
23.41 Manufacture of;ceramic household and ornamental articles;0.0; ;x;x; ;x;x
23.51 Manufacture of;cement;36.3;6.6;x;x; ;x;x
24.10 Manufacture of;basic iron and steel and of ferro-alloys;18.0;12.0;x;x; ;x;x"
