"€ million;2023;2022
Loss allowances on trade receivables;558;345
Loss allowances on other receivables and other assets;2,051;2,756
Expenses from derivatives within hedge accounting;754;971
Expenses from derivatives not within hedge accounting Financial Services;1,221;1,309
Expenses from other hedges;4,857;2,417
Foreign exchange losses;3,793;3,762
Expenses from cost allocations;1,113;833
Expenses for termination agreements;62;280
Losses on disposal of noncurrent assets;406;321
Miscellaneous other operating expenses;4,719;4,820
;19,534;17,813"
