"Economic activities;OPERATING EXPENDITURE € million %;SUBSTANTIAL CONTRIBUTION TO CLIMATE CHANGE MITIGATION € million %;cCOMPLI- ANCE WITH DNSH CRITERIA Y/N;ANCE WITH MINIMUM SAFE- GUARDS Y/N;TAXONOMY-ALIGNED OPERATING EXPENDITURE € million;% 
A. Taxonomy-eligible activities;13,120;98.9;5,834;44.0;Y/N;Y;5,807;43.8 
Vehicle-related business;;;;;; 
3.3 Manufacture of low-carbon technologies for transport;12,893;97.2;5,764;43.5;Y/N;Y;5,737;43.2 
3.18 Manufacture of automotive and mobility components;-;-;-;-;-;-;-;- 
Power Engineering;;;;;; 
3.2 Manufacture of equipment for the production and use of hydrogen;9;0.1;9;0.1;Y;Y;9;0.1 
3.6 Manufacture of other low-carbon technologies;219;1.6;61;0.5;Y;Y;61;0.5 
9.1 Close to market research, development and innovation;-;-;-;-;-;-;-;- 
B. Taxonomy-non-eligible activities;145;1.1;;;; 
Total (A + B);13,265;;;;"
