"Economic activities A. Taxonomy-eligible activities;® 3 &amp;;5 a 6 € million;ra] ry 3 o c x} = S 10 o a &amp; 8 %&gt;; % c o fe °o 6 £ &amp; « § Es oe;% Cc od 2c © £8 ®&amp; Es 68 Y;N; N/EL?;. 5 % Ss;c 2 s = &amp; Y;N; N/EL?;= 5 c ° ° ® 3 5 2 6 Y;N; N/EL?2;r) £ G o 2 8 a;8 Cc o fee o 6 2s o 8 Es GE Y/N;. 5 &amp; 3;c &amp; g = &amp;;= 5 c ° ° o a $ 2 ro);2 = o ° 2 3 a Y/N;» z $ e - s € 5 — © =e Y/N;4 Ly a - 2 8 @&gt;e SoS 4 St 4 ow nEon Eofo o6s5N §x25 gfnNo £526 %*;2 ° 2 4 ° me £2 se os 58 E;3 2 = 3 3 e on #5 3 62 Ee
A.1 Environmentally sustainable activities (taxonomy- aligned); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Manufacture of low-carbon technologies for transport;CCM 3.3;20,029;32.6;Y;N/EL;N/EL;N/EL;N/EL;N/EL;;Y;Y;Y;Y;Y;34.5;E; 
Manufacture of equipment for the production and use of hydrogen;CCM 3.2;37;0.1;Y;N/EL;N/EL;N/EL;N/EL;N/EL;;Y;Y;Y;Y;Y;0.1;E; 
Manufacture of other low-carbon technologies from sustainable activities;CCM 3.6;24;0.0;Y;N/EL;N/EL;N/EL;N/EL;N/EL;;Y;Y;Y;Y;Y;-;E; 
CapEx environmentally (taxonomy-aligned) (A.1); ;20,091;32.7;32.7;-;-;-;-;-; ;Y;Y;Y;Y;Y;34.5; ; 
Of which enabling activities; ;20,091;32.7;32.7;-;-;-;-;-; ;Y;Y;Y;Y;Y;34.5;E; 
Of which transition activities; ;;-;-;-; ; ; ; ; ; ; ;=-;-;-;-; ; 
A.2 Taxonomy-eligible but not environmentally sustainable activities (activities that are not taxonomy-aligned); ; ; ;EL;N/ELS =;EL; N/EL$;EL; N/EL® =;EL; N/EL®;EL; N/EL® ~—;EL; N/ELS; ; ; ; ; ; ; ; 
Manufacture of low-carbon technologies for transport;CCM 3.3;41,099;66.9;EL;N/EL;N/EL;N/EL;N/EL;N/EL;; ; ; ; ; ; ;64.9; ; 
Manufacture of other low-carbon technologies;CCM 3.6;60;0.1;EL;N/EL;N/EL;N/EL;N/EL;N/EL;; ; ; ; ; ; ;0.1; ; 
CapEx from taxonomy-eligible but not environmentally sustainable activities (activities that are not taxonomy- aligned) (A.2); ;41,160;67.0;67.0;-;-;-;-;-; ; ; ; ; ; ;65.1; ; 
Cap€Ex from taxonomy-eligible activities (A.1 + A.2); ;61,250;99.6;99.6;-;-;-;-;-; ; ; ; ; ; ;99.6; ; 
B. Taxonomy-non-eligible activities; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
CapEx from activities that are not taxonomy-eligible (B); ;221;0.4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Total (A + B); ;61,472;100.0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"
