"csv
€ millions;2023;2022
Expenses from currency translation;107.0;76.7
Expenses in connection with litigation and environmental risks;104.0;151.1
Expenses from the disposal of companies and business operations;99.4;0.4
Expenses from impairment on financial assets and contract assets;76.6;60.2
Compensation to customers and suppliers;38.8;29.9
Expenses from other taxes;34.4;3.6
Expenses from customer tooling;30.3;37.7
Expenses from transactions with related parties;23.0;23.0
Expenses from provisions for pending losses;22.5;2.8
Losses on the disposal of property, plant and equipment, and from scrapping;20.6;20.7
Impairment on goodwill;—;552.9
Other;272.6;186.9
Other expenses;829.2;1,145.9"
