"Currencies €1in;Closing rate December 31, 2023;Closing rate December 31, 2022;Average rate for the year 2023;Average rate for the year 2022
Brazil;BRL;5.37;5.64;5.40;5.44
Switzerland;CHF;0.93;0.98;0.97;1.01
China;CNY;7.87;7.37;7.66;7.08
Czechia;CZK;24.71;24.15;24.01;24.56
United Kingdom;GBP;0.87;0.89;0.87;0.85
Hungary;HUF;382.78;400.86;381.77;391.17
Japan;JPY;156.81;140.74;151.99;138.06
South Korea;KRW;1,428.58;1,344.72;1,413.09;1,357.73
Mexico;MXN;18.78;20.82;19.19;21.20
Malaysia;MYR;5.08;4.70;4.93;4.63
Philippines;PHP;61.28;59.33;60.17;57.33
Romania;RON;4.97;4.95;4.95;4.93
USA;USD;1.11;1.07;1.08;1.05
South Africa;ZAR;20.48;18.12;19.96;17.20"
