";Dec. 31, 2023;;Dec. 31, 2022
Safety and Motion;992.0;Safety and Motion;1,017.7
;Vehicle Dynamics;259.1;;
;Hydraulic Brake Systems;145.4;;
;Passive Safety and Sensorics;596.1;;
;Continental Engineering Services;17.1;;
Smart Mobility;784.5;Smart Mobility;794.3
Autonomous Mobility;365.7;Autonomous Mobility;366.7
;Software and Central Technologies;17.3;;
Automotive;2,159.5;Automotive;2,178.7
Original Equipment;2.0;Original Equipment;2.0
Replacement EMEA (Europe, the Middle East and Africa);172.2;Replacement EMEA (Europe, the Middle East and Africa);172.2
Replacement APAC (Asia-Pacific region);202.6;Replacement APAC (Asia-Pacific region);210.0
Replacement The Americas (North, Central and South America);15.6;Replacement The Americas (North, Central and South America);16.2
Specialty Tires;19.1;Specialty Tires;19.6
Tires;411.5;Tires;420.0
Surface Solutions;125.9;Surface Solutions;117.0
Special Technologies and Solutions;1.8;Special Technologies and Solutions;1.8
Conveying Solutions;130.9;Conveying Solutions;137.4
Mobile Fluid Systems;50.2;Mobile Fluid Systems;51.0
Industrial Fluid Solutions;153.6;Industrial Fluid Solutions;159.5
Power Transmission Group;48.6;Power Transmission Group;50.1
Advanced Dynamics Solutions;105.2;Advanced Dynamics Solutions;102.7
ContiTech;616.3;ContiTech;619.5
Continental Group;3,187.5;Continental Group;3,218.2"
