"€ millions;Automotive;Tires;ContiTech;Contract Manufacturing;Other/ Holding/ Consolidation;Continental Group
Total assets;15,255.7;10,800.6;4,686.5;759.0;6,425.0;37,926.7
Cash and cash equivalents;_;-;_;-;2,988.0;2,988.0
Short- and long-term derivative instruments, interest-bearing investments;-;-;-;-;207.3;207.3
Other financial assets;52.0;35.0;6.1;0.3;30.6;123.9
Less financial assets;52.0;35.0;6.1;0.3;3,225.8;3,319.1
Less other non-operating assets;-147.0;-14.4;3.9;0.2;536.9;379.6
Deferred tax assets;_;-;_;-;2,059.2;2,059.2
Income tax receivables;-;-;-;-;277.6;277.6
Less income tax assets;-;-;-;-;2,336.8;2,336.8
Segment assets;15,350.7;10,780.0;4,676.5;758.5;325.4;31,891.1
Total liabilities and provisions;8,403.0;4,053.5;2,015.6;272.0;9,447.7;24,191.8
Short- and long-term indebtedness;-;-;-;-;7,694.7;7,694.7
Other financial liabilities;-;-;-;-;520.3;520.3
Less financial liabilities;-;-;-;-;8,215.0;8,215.0
Deferred tax liabilities;-;-;-;-;57.5;57.5
Income tax payables;-;-;-;-;525.7;525.7
Less income tax liabilities;-;-;-;-;583.2;583.2
Less other non-operating liabilities;1,374.2;642.8;508.5;44.8;487.8;3,058.0
Segment liabilities;7,028.8;3,410.7;1,507.1;227.3;161.7;12,335.6
Operating assets;8,321.9;7,369.3;3,169.4;531.2;163.8;19,555.6"
