"Economic activities;Code;Capital (capex) millions of €;expenditure %;Climate change mitigation Y,N,EL, N/EL;Climate change adaptation;Water —*Y,N,EL, N/EL;Circular Pollution economy ~—SsY,N,EL, ~—Y,N, N/EL;economy;Biodiversity;Taxonomy aligned (A.1.) or eligible (A.2.) proportion of capex 2022 %;enabling;transitional
A. Taxonomy-eligible activities Po;;;;;;;;
AA. Environmentally sustainable activities (taxonomy-aligned) ag N/EL N/EL;;;;;;;
Data-driven solutions for GHG emissions reductions Capex of environmentally sustainable activities;CCM 8.2;0;0.0;Y;N/EL;N/EL;N/EL;;;;0.0;;;
(taxonomy-aligned) (A.1.);;;0.0;0.0;0.0;0.0;;;;0.0;;;
of which: enabling;;;0.0;0.0;0.0;0.0;;;;0.0;;;
of which: transitional A.2. Taxonomy-eligible but not environmentally sustainable activities;;;0;0.0;0.0;;;;0.0;;;
(not taxonomy-aligned activities) Data processing, hosting and related activities;CCM 81;213;0.9;EL;EL;N/EL;N/EL;N/EL;N/EL;0.4;;;
Data-driven solutions for GHG emissions reductions;CCM 8.2;2;0.0;EL;N/EL;N/EL;N/EL;N/EL;0.0;;;
Product-as-a-service and other circular use- and result-oriented service models;CES.S CCM;170;0.7;N/EL;N/EL;N/EL;N/EL;EL;N/EL;-;;;
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5;133;0.5;EL;EL;N/EL;N/EL;N/EL;N/EL;0.3;;;
Infrastructure enabling low-carbon road transport and public transport;CCM 6.15;-;-;EL;N/EL;N/EL;N/EL;N/EL;N/EL;0.0;;;
Capex of taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities) (A.2.);;517;2.1;1.4;0.0;0.0;0.0;0.7;;0.8;;;
A. Capex of taxonomy-eligible activities (A-1. + A.2.);;517;2.1;1.4;0.0;0.0;0.0;0.7;;0.8;;;
B. Taxonomy non-eligible activities;;;;;;;;
Capex of taxonomy non-eligible activities Total;;;23,773;97.9;;;;99.2;;;
Total;;;24,290;100.0;;;;100.0;;;"
