";equivalent rights, and buildings including buildings on land owned by third parties;Technical equipment and machinery;Other equipment, operating and office equipment;Total
;Carrying amounts of right-of-use assets by class of underlying asset;;;;
At December 31, 2021;6,168;24,550;60;30,777
Currency translation;104;1,907;0;2,011
Changes in the composition of the Group;(2);0;0;(2)
Additions;1,016;9,463;34;10,513
Disposals;(126);(147);(2);(275)
Depreciation;(1,302);(5,564);(30);(6,896)
Impairment losses;(18);(289);0;(308)
Reclassifications;138;(723);0;(585)
Reversal of impairment losses;0;0;0;0
;Change from non-current assets and disposal groups;;
held for sale;(1,530);20;0;(1,510)
At December 31, 2022;4,449;29,217;61;33,727
Currency translation;(42);(924);1;(964)
Changes in the composition of the Group;(1);0;0;(1)
Additions;987;5,128;35;6,150
Disposals;(55);(88);(2);(146)
Depreciation;(1,192);(4,213);(26);(5,431)
Impairment losses;(1);(9);0;(10)
Reclassifications;(1);(491);(1);(492)
Reversal of impairment losses;0;0;0;0
Change from non-current assets and disposal groups held for sale;(4);3;(5);(6)
At December 31, 2023;4,141;28,621;64;32,826"
