";Domestic;International;Total
;Consolidated subsidiaries;;
January 1, 2023;60;293;353
Additions;2;5;7
Disposals (including mergers);6;60;66
December 31, 2023;56;238;294
;Associates accounted for using the equity method;;
January 1, 2023;5;9;14
Additions;0;1;1
Disposals;0;0;0
December 31, 2023;5;10;15
;Joint ventures accounted for using the equity method;;
January 1, 2023;12;3;15
Additions;7;1;8
Disposals;1;1;2
December 31, 2023;18;3;21
;Total;;
January 1, 2023;77;305;382
Additions;4;5;9
Disposals (including mergers);2;59;61
December 31, 2023;79;251;330"
