";2023;2022
Fair value as of December 31;411;446
Dividends recognized in profit/loss;;
Of which: on investments divested in the reporting period;0;
Of which: on investments still held at the reporting date;;
Fair value at the derecognition date of instruments divested in the reporting period;28;34
;;
Cumulative gains reclassified in the reporting period from other comprehensive income to retained earnings;7;
Of which: from the disposal of investments Cumulative losses reclassified the from other income to retained;7;
in reporting period comprehensive earnings;0;12
Of which: from the disposal of investments;12;12"
