"Millions of euro;Italy;Iberia;Rest of the World;Latin America;Europe;North America;Africa, Asia and Oceania;Eliminations Rest of the World;Other, — eliminations and adjustments;Total
Property, plant and equipment;30,327;23,167;38,220;21,099;2,397;13,722;1,002;-;dil;91,825
Intangible assets;3,200;16,173;11,596;10,534;331;602;129;-;628;31,597
Non-current and current contract assets;73;9;576;493;48;19;16;_;6;664
Trade receivables;7,086;4,369;6,470;5,037;1,127;268;66;(28);(189);17,736
Other;4,947;2,929;2,105;1,498;294;250;63;-;(1,128);8,853
Operating assets;45,633;46,647;58,967;38,661;4,197;14,861;1,276;(28);(572);150,675
Trade payables;9,595;3,220;6,652;4,813;483;1,261;119;(24);(1,404);18,063
Non-current and current contract liabilities;4,188;3,351;479;35;443;-;1;-;(64);7,964
Sundry provisions;3,008;3,458;2,576;2,378;69;97;32;-;629;9,671
Other;4,323;3,144;7,076;4,480;637;1,893;66;-;1,011;15,554
Operating liabilities;21,114;13,173;16,783;11,706;1,632;3,251;2,189;(24);182;51,252"
