"Share capital;at Dec. 31, 2022;Change
10,167;10,167;-
Treasury share reserve;(59);(47);(12)
Other reserves;6,551;2,740;3,811
Share premium reserve;7,496;7,496;-
Reserve for equity instruments - perpetual hybrid bonds;6,553;5,567;986
Legal reserve;2,034;2,034;-
Other reserves;2,341;2,332;9
Translation reserve;(5,289);(5,912);623
Hedging reserve;(1,393);(3,553);2,160
Hedging costs reserve;(38);(81);43
Reserve from measurement of financial instruments at FVOCI;10;(22);32
Reserve from equity-accounted investments;(375);(476);101
Actuarial reserve;(1,185);(1,063);(122)
Reserve from disposal of equity interests without loss of control;(2,390);(2,390);-
Reserve from acquisitions of non-controlling interests;(1,213);(1,192);(21)
Retained earnings;15,096;15,795;(699)
Equity attributable to owners of the Parent;31,755;28,655;3,100"
