"Electricity purchases;2023;2022;Change
;24,668;46,955;(22,287);-47.5%
Consumption of fuel for electricity generation;6,385;9,286;(2,901);-31.2%
Fuel for trading and gas for sale to end users;15,324;40,742;(25,418);-62.4%
Materials;2,747;3,534;(787);-22.3%
Personnel expenses;5,030;4,571;459;10.0%
Services, leases and rentals;15,450;16,606;(1,156);-7.0%
Environmental certificates;2,603;2,510;93;3.7%
Other charges related to the electricity and gas system;568;172;396;-
Other charges for taxes and fees;1,529;1,107;422;38.1%
Capital losses and other costs on the disposal of equity investments;404;363;41;11.3%
Extraordinary solidarity levies;208;-;208;-
Other expenses;813;533;280;52.5%
Capitalized costs;(3,385);(3,415);30;0.9%
Total;72,344;122,964;(50,620);-41.2%"
