"Millions of euro;Italy;Iberia;Rest of the World;Latin America;Europe;North America;Africa, Asia and Oceania;Eliminations Rest of the World;Other, — eliminations and adjustments;Total
Property, plant and equipment;34361;23,527;35,524;22,273;3;12,790;458;=;97;93,509
Intangible assets;3,122;16,178;11,397;10,771;26;482;118;=;686;31,383
Non-current and current contract assets;90;80;520;473;2;40;5;_;1;691
Trade receivables;8819;4011;5,302;4978;29;244;78;(27);(149);17,983
Other;4,281;2,375;1,706;1,393;13;271;31;(2);(243);8,119
Operating assets;50,673;46,171;54,449;39,888;73;13,827;690; (29);392;151,685
Trade payables;9,001;2888;5,011;4,075;30;849;79;(22);(742);16,158
Non-current and current contract liabilities;4318;3537;47;47;=;=;=;&gt;; (33);7869
Sundry provisions;3,078;3,177;2,686;2,529;1;134;21;1;74;9,682
Other;6,913;3556;6,219;4,205;37;1,932;48;(3);1471;18,159
Operating liabilities;23,310;13,158;13,963;10,856;68;2,915;14810;(24);1,437;51,868"
