"Millions of euro;Land;Buildings;Plant and machinery;Industrial and commercial equipment;Other assets;Leased assets;Leasehold improvements;Assets under construction and advances;Total
Cost net of accumulated impairment losses;629;11,606;165,370;572;1,439;4,021;547;13,964;198,148
Accumulated depreciation;-;5,719;100,685;409;1,147;1,259;408;-;109,627
Balance at Dec. 31, 2022;629;5,887;64,685;163;292;2,762;139;13,964;88,521
Capital expenditure;4;47;2,182;27;86;1;4;8,213;10,564
Assets entering service;31;1,189;6,085;6;56;4;29;(7,365);35
Exchange differences;11;(22);(933);(1);(26);(23);-;(464);(1,458)
Change in the consolidation scope;2;8;33;-;-;(6);-;3;40
Disposals;(2);(2);(106);(1);(31);(63);(1);20;(186)
Depreciation;-;(219);(3,857);(23);(81);(337);(34);-;(4,551)
Impairment losses;(1);(230);(1,149);-;-;-;-;(186);(1,566)
Impairment gains;-;1;30;-;-;-;-;8;39
Leases;-;-;-;-;-;684;-;-;684
Other changes;(1);(92);879;(1);6;3;(1);460;1,253
Reclassifications from/to assets held for sale;(43);(270);(2,590);(1);(5);(161);-;(504);(3,574)
Total changes;1;410;574;6;5;102;(3);185;1,280
Cost net of accumulated impairment losses;630;12,084;167,123;592;1,456;4,318;572;14,149;200,924
Accumulated depreciation;-;5,787;101,864;423;1,159;1,454;436;-;111,123
Balance at Dec. 31, 2023;630;6,297;65,259;169;297;2,864;136;14,149;89,801"
