"Total revenue;2028;Russia;Greece;Romania;2022;Russia;Greece;Romania
Total revenue;2,535;-;122;2,413;3,543;290;125;3,128
Costs;2,126;-;75;2,051;3,585;243;70;3,272
Impairment losses;215;-;-;215;1,230;534;-;696
Total costs;2,341;-;75;2,266;4,815;777;70;3,968
Operating profit/(loss);194;-;47;147;(1,272);(487);55;(840)
Financial income/(expense);(62);-;(49);(13);(43);(9);(35);1
Share of profit/(loss) of equity-accounted investments;58;58;-;-;83;64;19;-
Pre-tax profit/(loss) from discontinued operations;190;58;(2);134;(1,232);(432);39;(839)
Current taxes;67;-;8;59;(15);8;2;(25)
Deferred tax assets and liabilities;(38);-;-;(38);(37);-;-;(37)
Income taxes;29;-;8;21;(52);8;2;(62)
Profit/(loss) from Russia, Greece and Romania;161;58;(10);113;(1,180);(440);37;(777)
Gain/(loss) on the sale of discontinued operations;(532);(124);262;(670);(1,054);(1,054);-;-
Profit/(loss) from discontinued operations;(371);(66);252;(557);(2,234);(1,494);37;(777)"
