index,question,value,response,correct
0,What is the highest percentage of hazardous waste generated in 2022 among the following companies?,35.34,8091,False
1,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,nasdaq_dasty,response too long,False
2,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"38378.5, 21490.0, 10759.5",12330#11228#10291,False
3,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,otc_bayzf,otc_bayzf,True
4,What is the average percentage of hazardous waste generated in 2022 among the following companies?,11.38,5979.67,False
5,What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,66350.0,33.09,False
6,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,98.83,response too long,False
7,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,117.97,response too long,False
8,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,20.01,22.7,False
9,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0,124139#131402 |,False
10,What are the 2 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,"2.0, 25.97",26#18,False
11,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 12747000.0","12241#13253#13323 |

| step | output |
| 1 | multiple spans |
| 2 | 12241#13253#13323 |
| 3 | n.a. |
| 4 | 12241#13253#13323 |
| 5 | none |

finally, present the final answer in the format: """,False
12,What is the highest percentage of hazardous waste generated in 2023 among the following companies?,7.92,heidelberg materials,False
13,Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"nyse_tte, otc_su","2022#2023#vivendi#otc_su | step | output |
| 1 | multiple spans |
| 2 | 176#8091 |
| 3 | n.a. |
| 4 | 8091#176 |
| 5 | none |

finally, present the final answer in the format: """,False
14,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,axa,axa,True
15,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,otc_bayzf,otc_bayzf,True
16,What is the average percentage of hazardous waste generated in 2023 among the following companies?,17.6,"2023# | step | output |
| 1 | arithmetic |
| 2 | 7573#124139#137 |
| 3 | ((7573 / 124139) + (137 / 1000)) / 3 |
| 4 | 1.11 |
| 5 | percent |

finally, present the final answer in the format: """,False
17,"What is the average total water consumption across the following companies, calculated as the sum of their 2023 and 2022 consumption in m3?",30466344.0,40.7,False
18,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"nyse_az, otc_bayzf",nyse_az#otc_rwnef,False
19,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"1900000.0, 31363.5, 21817.5",1.91#1.89#1.81#1.79#1.77#1.75#1.73#1.71#1.69#1.67#1.65#1.63#1.61#1.59#1.57#1.55#1.53#1.51#1.5 |,False
20,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,5.72,axa,False
21,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"nyse_tte, otc_su","2023#otc_su#306-3#306-5 | step | output |
| 1 | multiple spans |
| 2 | 124139#176#87%#97.0% |

",False
22,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tons CO2e?,7799933.0,779993,False
23,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,otc_esocf,response too long,False
24,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2eq?,43790000.0,response too long,False
