index,question,value,response
0,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,354651.0, 154851.00
1,What is the total amount of waste generated from 2022 to 2023 among the following companies?,258228.6, 1673142.26
2,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2002827.0, 3020.81
3,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,9224778.0, 9224778.00
4,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,26.26, 33391.27
5,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,345650.0, 145850.00
6,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,6038082.0, 6038082.00
7,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.26, 0.26
8,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1883570.67, 12110000.00
9,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,3044201.0, 3048201.00
10,What is the average energy consumption from 2023 to 2022 among the following companies?,485951.83, 775769.83
11,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,7292089.33, 96289.33
12,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.07, 0.07
13,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,418550.0, 48586.67
14,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,11911.43, 26093.50
15,What is the average energy consumption from 2023 to 2022 among the following companies?,37309.33, 90755.50
16,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,3.59, 112231.48
17,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,770654.01, 2782952.24 tj
18,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1265617.0, 145606.00
19,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,3965848.0, 49768.00
20,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,1127442.0, 1115442.00
21,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,4058339.0, 142259.00
22,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,0.28, 184187.10
