index,question,value,response,correct
0,What is the average between direct and indirect group energy consumption of the percentage ratios between 2023 and 2021?,77.81,"(9.76 + 9.92) / 2 | none |

",False
1,What is the average between scope 1+2 market based emissions and scope 2 emissions of the sums between the years 2022 and 2023?,315289.5,(20232 + 89440) / (89440 + 20232),False
2,What is the average between water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2021 and 2023?,108.62,(879602 / 780201) + (813411 / 622951) |,False
3,"What is the value between operated and not operated intensity of GHG emissions of the lowest average between the years 2023, 2021?",17,"18#19 | none |

",False
4,"What is the value between direct and indirect energy consumption of the lowest sum in the years 2021 (group), 2023 (full consolidated), 2021 (full consolidated), 2023 (group), 2022 (full consolidated)?",2166,"14171#366#13691#380#16041#692 |

the corresponding scale is: none",False
5,"What is the sum between grid and renewable electricity emissions of the averages between the years 2021, 2022, 2023, 2020?",57021.25,"109730#70145#49674#66692 |

#### and its corresponding scale is: none",False
6,"What are the top 2 lowest values between location based and target based emissions of the sums (in descending order) between the years 2022, 2023 for fully consolidated and 2023 for group emissions?","16429.5, 16427.2",2355.9#2664.5,False
7,Which are the top 2 highest values between vehicle and SF6 emissions of the percentage ratios (in descending order) between the year 2021 and 2023?,"145.19, 101.94",0.19%#0.08%,False
8,What is the average between location based and market based emissions of the sums in full consolidated and group scenarios between 2023?,12786.85,6340.3#2355.9#6446.5#2662.4,False
9,What are the top 2 highest values between operated and not operated intensity emissions of the percentage ratios (in descending order) between the year 2022 and 2023?,"105.56, 100.0","0.11#0.13 |

#### and its corresponding scale is: none",False
10,Which are the top 2 lowest values between the energy consumption from renewable and non renewable sources of the percentage ratios (in descending order) between the year 2023 and 2022?,"102.7, 81.38","57.3#62.9#50.6#62.9#57.3 |

the corresponding scale is: none |

",False
11,What is the average between direct and indirect consumption of energy of the percentage ratios between 2022 (full consolidated) and 2023 (group?,106.35,"(9.92 + 9.76) / 2 | none |

",False
12,What is the average between scope 2 and scope 3 emissions of the sums between the years 2020 and 2023?,61391666,"(56777964 + 60788549) / 2 |

",False
13,What is the average between the total water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2022 and 2020?,89.75,(622951 / 780201) + (879602 / 76.5) |,False
14,"What is the sum between total water withdrawn and water withdrawn for cooling of the averages between the years 2021, 2020?",2830049,"71.7#879602#874114#56.2#76.5 |

#### and its corresponding scale is: none",False
15,What is the average between non hazardous waste and non hazardous recycled waste of the sums between the years 2023 and 2022?,228518.5,(116566 + 111567) / (11941 + 111567),False
16,What is the average between self generated and purchased renewable electricity of the sums between the years 2020 and 2022?,603764.5,"(20719 + 585495) / (2020 + 2022) | none |

",False
17,"What is the average between electricity consumed from the grid and electricity consumed from the grid, but produced by renewable sources of the percentage ratios between 2021 (full consolidated) and 2021 (group total)?",68.28,0.3767#0.3797,False
18,"Which are the top 2 highest values between direct and indirect energy consumption of the averages (in descending order) between the years 2021, 2022, 2023 for the group consumption and 2022, 2023 for fully consolidated?","15060.6, 499.2",16665#14171,False
19,"What is the value between scope 1 and scope 3 emissions of the highest sum in the years 2020, 2021, 2022?",195296755,"65770721#68737485 |

",False
20,"What is the value between surface and groundwater withdrawal of the highest average between the years 2020, 2023?",462400.5,492308#17699 |,False
21,"Which are the top 2 highest values between scope 1, 2 and 3 emissions of the percentage ratios (in ascending order) between the year 2022 and 2020?","83.89, 92.42",112792#61492#65770721#73229#56777964#142388#119447#140718#52197#4451#4414#7287#4520#4054#55598#4606#62683#5886#70145#10853#49674#694#8358#11550#42961#62818#50995#68737485#60788549#14714#3116#56777964#65770721#4451#4414#7287#4520#4054#52197#112792#140718#61492#65770721#56777964#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#65770721#60788549#68737485#6577072,False
22,What is the value between the total water withdrawn and the water withdrawn for cooling of the lowest percentage ratio between 2020 and 2023?,95.92,1899190#780201,False
23,"What are the top 6 highest values between different sources of energy consumption of the sums (in descending order) between the years 2022, 2023?","199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0",148720#107019#2829#2263#2558#40443 |,False
24,"Which are the top 2 highest values between surface and groundwater withdrawal of the averages (in descending order) between the years 2021, 2022, 2020, 2023?","482685.0, 17207.5",no answer in the response,False
25,"Which are the top 2 lowest values between purchased and self generated renewable electricity of the averages (in descending order) between the years 2022, 2020, 2023, 2021?","599428.0, 18059.5",20719#12464,False
