"Economic activities;Code!;Proportion Operating of operating expenditure?expenditure?;Climate change mitigation;Climate change adaptation;Y;N;N/EL?;Water;Circular economy Pollution;Biodiversity N/EL? Y; N; N/EL?;DNSH criteria (‘dono signifi- cant harm”)® Y/N;Minimum safeguards Y/N;Proportion of Taxono- my-aligned (A.1) or Tax- onomy-eligi- ble (A.2)| | — operating | expenditure in %;Category: enabling activity E;Catego transitio activ
A. TAXONOMY-ELIGIBLE ACTIVITIES;;;;;;; ; ; ; ; ; ; ; ; 
A.1 Environmentally sustainable activities (Taxonomy-aligned); ; ; ; ; ; ; ; ; ; ; ; ; 
Manufacture of low-carbon technologies for transport;CCM 3.3;2,336;32%;Y;N/EL;;N/EL;N/EL;N/EL;Y;Y;35%;E; 
Operating expenditure of environmentally sustainable activities (Taxonomy-aligned) (A.1); ;2,336;32%;100%;0%;0%;0%;0%;Y;Y;35%; ; 
of which enabling activity; ;2,336;32%;100%;0%;0%;0%;0%;Y;Y;35%;E; 
of which transitional activity; ;0;0%;0%;0%; ; ; ; ; ; ;0%; ; 
A.2 Taxonomy-eligible activities that are not environmentally sustainable (not Taxonomy-aligned activities); ; ; ; ; ; ; ; ; ; ; ; ; 
Manufacture of low-carbon technologies for transport;CCM 3.3;4,970;68%;EL;N/EL;;N/EL;N/EL;N/EL; ; ;65%; ; 
Operating expenditure of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities) (A.2); ;4,970;68%;100%;0%;0%;0%;0%;Y;Y;65%; ; 
A. Operating expenditure of Taxonomy-eligible activities (A.1 + A.2); ;7,306;100%;100%;0%;0%;0%;0%;Y;Y;100%; ; 
B. TAXONOMY NON-ELIGIBLE ACTIVITIES;;;;;;; ; ; ; ; ; ; ; ; 
Operating expenditure of Taxonomy non-eligible activities; ;0;0%; ; ; ; ; ; ; ; ;0%; ; 
Total (A+B); ;7,306;100%; ; ; ; ; ; ; ;100%; ;"
