"In millions of euros; ; 
Total interest income; 5,528; 4,571
thereof from financial assets and liabilities; ; 
measured at (amortized) costs; 5,458; 4,550
thereof from financial assets; ; 
recognized at fair value through; ; 
other comprehensive income; 70; 21
Total interest expense; -2,936; -1,980
thereof from financial assets and liabilities; ; 
measured at (amortized) costs; -2,936; -1,980
thereof from financial assets; ; 
recognized at fair value through; ; 
other comprehensive income; -; -"
