"Economic activities;Code?;Revenue? in millions of;2023 Proportion of revenue?;Climate change mitigation;Climate change adaptation;Water economy;Pollution;Biodiversity;DNSH criteria (‘do no signifi-_ cant harm"");Minimum safeguards;2023 Proportion of Taxono- my-aligned (A.1) or Taxonomy-| |eligible (A.2) revenue;Category: enabling activity;Category _transitiona activity
; ;euros;in%;| Y;N;N/EL?;—Y; N; N/EL?; ;Y;N; ;N/EL? YN; ;N/EL? Y; N; N/EL?;Y/N;Y/N;in %;E; 
A. TAXONOMY-ELIGIBLE ACTIVITIES; ; ; ; ; ; ; ; ; ; ; ; ; ; 
A.1 Environmentally sustainable activities (Taxonomy-aligned); ; ; ; ; ; ; ; ; ; ; ; ; ; 
Manufacture of low-carbon technologies for transport;CCM 3.3;20,704;14%;Y;N/EL;N/EL;N/EL;N/EL;N/EL;Y;Y;10%;E; 
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5;319;0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL;Y;Y;0%; ; 
Infrastructure enabling low-carbon road transport and public transport;CCM 6.15;0;0%;Y;N/EL;N/EL;N/EL;N/EL;N/EL;Y;Y;-;E; 
Revenue from environmentally sustainable activities (Taxono- my-aligned) (A.1); ;21,023;14%;100%;0%;0%;0%;0%;0%;Y;Y;10%; ; 
of which enabling activity; ;20,704;14%;100%;0%;0%;0%;0%;0%;Y;Y;10%;E; 
of which transitional activity; ;0;0%;0%;0%; ; ; ; ; ; ; ; ; 
A.2 Taxonomy-eligible activities that are not environmentally sustainable (not Taxonomy-aligned activities);EL;N/EL;EL;N/EL;EL;N/EL;EL;N/EL;EL;N/EL;EL;N/EL; ; 
Manufacture of low-carbon technologies for transport;CCM 3.3;107,045;70%;EL;N/EL;N/EL;N/EL;N/EL;N/EL; ; ;72%; ; 
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5;21,561;14%;EL;N/EL;N/EL;N/EL;N/EL;N/EL; ; ;15%; ; 
Freight transport services by road;CCM 6.6;1,683;1%;EL;N/EL;N/EL;N/EL;N/EL;N/EL; ; ;1%; ; 
Sale of second-hand goods;CE 5.4;448;0%;N/EL;N/EL;N/EL;EL;N/EL;N/EL; ; ; -; ; 
Revenue from Taxonomy-eligible activities that are not environmentally sustainable (not Taxonomy-aligned) (A.2); ;130,737;85%;100%;0%;0%;0%;0%;0%; ; ;88%; ; 
A. Turnover of Taxonomy-eligible activities (A.1 + A.2); ;151,760;99%;100%;0%;0%;0%;0%;0%; ; ;98%; ; 
B. TAXONOMY NON-ELIGIBLE ACTIVITIES; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Revenue of Taxonomy non-eligible activities; ;1,458;1%; ; ; ; ; ; ; ; ;2%; ; 
Total (A +B); ;153,218;100%; ; ; ; ; ; ; ;100%; ;"
