index,question,value,response,correct
0,Is the maximum amount of total waste higher in 2022 than in 2023?,yes,no,False
1,"Among 2019, 2022 and 2023, what are the two lowest amounts of unsorted waste (T) in decreasing order?","2757.0, 1955.0",2757.0,False
2,"What is the minimum total waste in tons recorded in the years 2019, 2022 and 2023?",4350,4350.0,True
3,What are the two lowest values of total waste in tons for the years 2019 and 2022?,"4350.0, 5070.0",4350.0,False
4,"In 2023, is the amount of Mwh between on site generated renewable electricity higher than energy consumption by heating?",yes,yes,True
5,"What are the amounts of energy consumption in MWh for the year 2022, ranked in descending order?","107019.0, 77831.0, 33245.0, 2829.0, 855.0, 0.0, 0.0, 0.0","148720.0, 107019.0, 92379.0, 2490.0, 797.0, 5491.0, 2829.0, 2263.0, 2558.0, 2734.0",False
6,Is the estimated energy consumption from purchased renewable electricity lower than grid electricity in MWh for the year 2023?,yes,no,False
7,"What is the minimum estimated energy consumption from district heating in MWh for the years 2023, 2022, and 2021?",2490,2490.0,True
8,"What are the two lowest values of fuel oil electricity consumption in MWh for the years 2023, 2022 and 2021 in increasing order?","797.0, 855.0",797.0,False
9,"What is the highest estimated energy consumption from gas in MWh for the years 2021, 2022, and 2023?",49674,33245.0,False
10,"What are the two lowest values in decreasing order of energy consumption from coal measured in MWh for the years 2023, 2022 and 2021?","0.0, 0.0",0.0,False
11,Is the value of energy consumption from renewable fuel and heat in MWh in 2022 lower than in 2021?,no,no,True
12,Is the estimated energy consumption from purchased renewable electricity higher than the energy consumption from renewable electricity generated on site in MWh in 2023?,yes,no,False
13,What are the two highest values of purchased renewable electricity and gas consumption in MWh for the year 2023 in descending order?,"77831.0, 33245.0","148720.0, 21008.0",False
14,"In ascending order, what are the four lowest values of energy consumption by source in MWh in 2023?","0.0, 0.0, 0.0, 1013.0","2490.0, 2829.0, 5491.0, 1013.0",False
15,Is the estimated energy consumption from district heating in MWh in 2021 lower than the one in 2022?,no,no,True
