"; ;Baseline; ; ; ;Mild; ; ; ;Severe; ; ; ;
; ;2023;2024;2025;2026; ;2023;2024;2025;2026;2023;2024;2025;2026
Euro Area;Real GDP EUR (annual change);0.4%;0.4%;1.5%;1.6%; ;0.4%;1.1%;1.7%;1.9%;0.4%;-0.1%;0.6%;1.1%
;CPI EUR (annual change);5.4%;2.3%;2.0%;2.1%; ;5.4%;2.4%;2.3%;2.0%;5.4%;2.2%;1.5%;1.7%
;Euribor 3M;3.43;3.75;2.96;2.53; ;3.43;3.84;3.54;3.28;3.43;3.03;2.19;1.59
;EurlRS 10Y;3.08;3.12;3.41;3.72; ;3.08;3.22;3.73;4.15;3.08;2.74;2.87;3.13
;EUR/USD;1.08;1.44;1.13;1.45; ;1.08;1.10;1.43;1.15;1.08;1.44;1.15;1.15
; ; ; ; ; ; ; ; ; ; ; ; ; ;
Italy;Real GDP Italy (annual change);0.7%;0.7%;1.2%;1.0%; ;0.7%;1.1%;1.6%;1.4%;0.7%;-0.3%;0.3%;0.6%
;CPI Italy (annual change) Residential;5.6%;1.9%;1.9%;1.9%; ;5.6%;2.0%;2.3%;2.1%;5.6%;1.7%;1.3%;1.5%
;Property Italy (annual change);1.1%;0.6%;1.4%;2.1%; ;1.1%;1.5%;2.0%;2.6%;1.1%;-2.6%;-1.8%;-0.5%
;6-month BOT yield;3.45;3.46;2.78;2.48; ;3.45;3.54;3.33;3.21;3.45;2.77;2.03;1.58
;10Y BTP yield;4.19;4.09;4.49;5.16; ;4.19;4.03;4.67;5.43;4.19;3.92;4.22;4.96
;BTP-Bund Spread 10Y (basis points);171;159; ;159; ;171;143;145;153;171;181;186;209
;Italian Unemployment (%); ;7.6%;7.8%;8.0%; ;7.6%;7.8%;7.6%;7.7%;7.6%;8.3%;8.6%;8.9%
; ; ; ; ; ; ; ; ; ; ; ; ; ;
USA;Real GDP US (annual change);2.5%;1.5%;1.7%;1.9%; ;2.5%;2.1%;1.8%;2.3%;2.5%;0.5%;0.7%;1.9%
;US Unemployment (%);3.7%;3.8%;3.8%;3.7%; ;3.7%;3.7%;3.6%;3.5%;3.7%;4.2%;4.5%;4.3%"
