"Type of expense;2023
1) Employees;6,744
a) wages and salaries;4,692
b) social security charges;1,192
c) termination indemnities;47
d) supplementary benefits;10
e) provisions for termination indemnities;31
f) provisions for post employment benefits;14
- defined contribution plans;-
- defined benefit plans;14
g) payments to external pension funds;361
- defined contribution plans;358
- defined benefit plans;3
h) costs from share based payments;158
i) other benefits in favour of employees;239
2) Other non-retired personnel;20
3) Directors and statutory auditors;17
4) Early retirement costs;-
Total;6,781"
