;Scope;Unit ;2023;2022;% change
Scope 1;Offices (fuel oil, natural gas) (a) (b);tCO2eq;929;940;1%
;Generators (fuel, diesel) (a) (b);tCO2eq;864;1141;-24%
;Mobile sources (fuel, diesel, LPG) (a) (b);tCO2eq;7433;7504;-1%
;Refrigerants (a);tCO2eq;1065;1643;-35%
;Total Scope 1;tCO2eq;10291;11228;-8%
Scope 2;Electricity market-based (a) (b) (c);tCO2eq;12957;18299;-29%
;Electricity location-based (a) (b) (c) (d);tCO2eq;20778;21406;-3%
;Heating network (a);tCO2eq;1229;1142;8%
;Cooling network;tCO2eq;35;55;-36%
;Total Scope 2 market-based (b);tCO2eq;14221;19496;-27%
;Total Scope 2 location-based (b);tCO2eq;22042;22603;-2%
;Total Scopes 1 and 2 ma based;tCO2eq;24512;30724;-20.00%
;Total Scopes 1 and 2 loc: based;tCO2eq;32333;33831;-4.00%
Partial Scope 3.;Purchases of raw materials;tCO2eq;29189;26192;11%
;Property;tCO2eq;7285;12443;-41%
;Other energy (a) (b) (c);tCO2eq;8250;8740;-6%
;Upstream and downstream freight;tCO2eq;4409;na;na
;Waste (a);tCO2eq;2772;6987;-60%
;Business travel (a);tCO2eq;20012;15283;31%
;Employee commuting (a) (e);tCO2eq;18379;15025;22%
;Products sold (f);tCO2eq;282210;277104;2%
;Leased products (f);tCO2eq;90266;93916;-4%
;Financial investments (g) (h) (i);tCO2eq;272246;315058;-14%
;Restated financial investments (j);tCO2eq;272246;271410;0%
;Total Partial Scope 3;tCO2eq;735018;770748;-5%
;Total Restated Partial Scope 3 (j);tCO2eq;735018;727100;1.00%
;Total Scopes 1 and 2 market-based and partial Scope 3;tCO2eq;759530;801472;-5.00%
;Total Scopes 1 and 2 market-based and restated partial Scope 3 (j);tCO2eq;759530;757824;0.00%
