index,question,value,response
0,What is the average between direct and indirect group energy consumption of the percentage ratios between 2023 and 2021?,77.81, 77.82
1,What is the average between scope 1+2 market based emissions and scope 2 emissions of the sums between the years 2022 and 2023?,315289.5, 315289.50
2,What is the average between water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2021 and 2023?,108.62, 50.00
3,"What is the value between operated and not operated intensity of GHG emissions of the lowest average between the years 2023, 2021?",17, 17.75
4,"What is the value between direct and indirect energy consumption of the lowest sum in the years 2021 (group), 2023 (full consolidated), 2021 (full consolidated), 2023 (group), 2022 (full consolidated)?",2166, 13691.00
5,"What is the sum between grid and renewable electricity emissions of the averages between the years 2021, 2022, 2023, 2020?",57021.25, 58046.75
6,"What are the top 2 lowest values between location based and target based emissions of the sums (in descending order) between the years 2022, 2023 for fully consolidated and 2023 for group emissions?","16429.5, 16427.2"," 3642.50, 4385.60"
7,Which are the top 2 highest values between vehicle and SF6 emissions of the percentage ratios (in descending order) between the year 2021 and 2023?,"145.19, 101.94"," -0.30%, -31.09%"
8,What is the average between location based and market based emissions of the sums in full consolidated and group scenarios between 2023?,12786.85, 12786.85
9,What are the top 2 highest values between operated and not operated intensity emissions of the percentage ratios (in descending order) between the year 2022 and 2023?,"105.56, 100.0"," 0.00, 0.00"
10,Which are the top 2 lowest values between the energy consumption from renewable and non renewable sources of the percentage ratios (in descending order) between the year 2023 and 2022?,"102.7, 81.38"," -18.61, 2.26"
11,What is the average between direct and indirect consumption of energy of the percentage ratios between 2022 (full consolidated) and 2023 (group?,106.35, 7958.00
12,What is the average between scope 2 and scope 3 emissions of the sums between the years 2020 and 2023?,61391666, 126286105.50
13,What is the average between the total water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2022 and 2020?,89.75, 1316688.25
14,"What is the sum between total water withdrawn and water withdrawn for cooling of the averages between the years 2021, 2020?",2830049, 2820049.00
15,What is the average between non hazardous waste and non hazardous recycled waste of the sums between the years 2023 and 2022?,228518.5, 228518.50
16,What is the average between self generated and purchased renewable electricity of the sums between the years 2020 and 2022?,603764.5, 611047.33
17,"What is the average between electricity consumed from the grid and electricity consumed from the grid, but produced by renewable sources of the percentage ratios between 2021 (full consolidated) and 2021 (group total)?",68.28, 22768.00
18,"Which are the top 2 highest values between direct and indirect energy consumption of the averages (in descending order) between the years 2021, 2022, 2023 for the group consumption and 2022, 2023 for fully consolidated?","15060.6, 499.2"," 15066.50, 15056.67"
19,"What is the value between scope 1 and scope 3 emissions of the highest sum in the years 2020, 2021, 2022?",195296755, 68778103.00
20,"What is the value between surface and groundwater withdrawal of the highest average between the years 2020, 2023?",462400.5, 462400.50
21,"Which are the top 2 highest values between scope 1, 2 and 3 emissions of the percentage ratios (in ascending order) between the year 2022 and 2020?","83.89, 92.42"," -7.57, -16.06"
22,What is the value between the total water withdrawn and the water withdrawn for cooling of the lowest percentage ratio between 2020 and 2023?,95.92, 1147831.00
23,"What are the top 6 highest values between different sources of energy consumption of the sums (in descending order) between the years 2022, 2023?","199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0"," 199398.00, 150463.00, 54253.00, 5319.00, 5223.00, 1868.00"
24,"Which are the top 2 highest values between surface and groundwater withdrawal of the averages (in descending order) between the years 2021, 2022, 2020, 2023?","482685.0, 17207.5"," 482935.00, 17257.50"
25,"Which are the top 2 lowest values between purchased and self generated renewable electricity of the averages (in descending order) between the years 2022, 2020, 2023, 2021?","599428.0, 18059.5"," 18085.00, 599703.00"
26,"Which are the top 2 highest values between the water withdrawn not for cooling and the water withdrawn for cooling of the sums (in descending order) between the years 2023, 2021, 2022?","5893022.0, 2315964.0"," 2072263.00, 1921569.00"
27,What is the average between upstream and downstream transportation of the percentage ratios between 2023 and 2022?,94.44, -5.56
28,What is the average between location based and market based group total emissions of the percentage ratios between 2021 and 2023?,41.31, 141.75
29,"What is the sum between reused and incinerated non hazardous waste of the averages between the years 2021, 2022?",120400, 120400.00
30,Which are the top 2 lowest values between scope 2 and 3 emissions of the percentage ratios (in descending order) between the year 2020 and 2023?,"162.35, 115.84"," 61.62, 86.38"
31,"What is the value between the grid electricity and renewable electricity scope 2 emissions of the highest average between the years 2022, 2023?",44575, 44575.00
32,"What is the value between grid electricity, purchased and self generated renewable electricity of the lowest percentage ratio between 2021 and 2020?",89.13, 132771.00
33,"What is the sum between non hazardous waste and non hazardous reused waste of the averages between the years 2021, 2023?",232988, 232988.00
34,What is the average between direct and indirect group energy consumption of the sums between the years 2022 and 2021?,16112, 16112.00
35,"What are the top 2 highest values between purchased goods and downstream transportation of the sums (in ascending order) between the years 2022, 2023?","2.0, 57.0"," 2.00, 57.00"
