index,question,value,response
0,What is the average between direct and indirect group energy consumption of the percentage ratios between 2023 and 2021?,77.81, 14171
1,What is the average between scope 1+2 market based emissions and scope 2 emissions of the sums between the years 2022 and 2023?,315289.5, 229177
2,What is the average between water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2021 and 2023?,108.62, 2072263
3,"What is the value between operated and not operated intensity of GHG emissions of the lowest average between the years 2023, 2021?",17, 0.13
4,"What is the value between direct and indirect energy consumption of the lowest sum in the years 2021 (group), 2023 (full consolidated), 2021 (full consolidated), 2023 (group), 2022 (full consolidated)?",2166, 16665
5,"What is the sum between grid and renewable electricity emissions of the averages between the years 2021, 2022, 2023, 2020?",57021.25, 70167
6,"What are the top 2 lowest values between location based and target based emissions of the sums (in descending order) between the years 2022, 2023 for fully consolidated and 2023 for group emissions?","16429.5, 16427.2", 3642.4
7,Which are the top 2 highest values between vehicle and SF6 emissions of the percentage ratios (in descending order) between the year 2021 and 2023?,"145.19, 101.94", 0.11%
8,What is the average between location based and market based emissions of the sums in full consolidated and group scenarios between 2023?,12786.85, 2467.16
9,What are the top 2 highest values between operated and not operated intensity emissions of the percentage ratios (in descending order) between the year 2022 and 2023?,"105.56, 100.0"," 0.11, 17"
10,Which are the top 2 lowest values between the energy consumption from renewable and non renewable sources of the percentage ratios (in descending order) between the year 2023 and 2022?,"102.7, 81.38", 37.1%
11,What is the average between direct and indirect consumption of energy of the percentage ratios between 2022 (full consolidated) and 2023 (group?,106.35, 16665
12,What is the average between scope 2 and scope 3 emissions of the sums between the years 2020 and 2023?,61391666, 287595
13,What is the average between the total water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2022 and 2020?,89.75, 360033
14,"What is the sum between total water withdrawn and water withdrawn for cooling of the averages between the years 2021, 2020?",2830049, 780201
15,What is the average between non hazardous waste and non hazardous recycled waste of the sums between the years 2023 and 2022?,228518.5, 115567
16,What is the average between self generated and purchased renewable electricity of the sums between the years 2020 and 2022?,603764.5, 20719
17,"What is the average between electricity consumed from the grid and electricity consumed from the grid, but produced by renewable sources of the percentage ratios between 2021 (full consolidated) and 2021 (group total)?",68.28, 3600
18,"Which are the top 2 highest values between direct and indirect energy consumption of the averages (in descending order) between the years 2021, 2022, 2023 for the group consumption and 2022, 2023 for fully consolidated?","15060.6, 499.2"," 16665, 380"
19,"What is the value between scope 1 and scope 3 emissions of the highest sum in the years 2020, 2021, 2022?",195296755, 68737485
20,"What is the value between surface and groundwater withdrawal of the highest average between the years 2020, 2023?",462400.5, 452602
21,"Which are the top 2 highest values between scope 1, 2 and 3 emissions of the percentage ratios (in ascending order) between the year 2022 and 2020?","83.89, 92.42"," 229177, 0.11%"
22,What is the value between the total water withdrawn and the water withdrawn for cooling of the lowest percentage ratio between 2020 and 2023?,95.92, 780201
23,"What are the top 6 highest values between different sources of energy consumption of the sums (in descending order) between the years 2022, 2023?","199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0", 3600
24,"Which are the top 2 highest values between surface and groundwater withdrawal of the averages (in descending order) between the years 2021, 2022, 2020, 2023?","482685.0, 17207.5"," 36003, 360033"
25,"Which are the top 2 lowest values between purchased and self generated renewable electricity of the averages (in descending order) between the years 2022, 2020, 2023, 2021?","599428.0, 18059.5", 612752
26,"Which are the top 2 highest values between the water withdrawn not for cooling and the water withdrawn for cooling of the sums (in descending order) between the years 2023, 2021, 2022?","5893022.0, 2315964.0", 67.5
27,What is the average between upstream and downstream transportation of the percentage ratios between 2023 and 2022?,94.44, 6.75
28,What is the average between location based and market based group total emissions of the percentage ratios between 2021 and 2023?,41.31, 2471.4
29,"What is the sum between reused and incinerated non hazardous waste of the averages between the years 2021, 2022?",120400, 115567
30,Which are the top 2 lowest values between scope 2 and 3 emissions of the percentage ratios (in descending order) between the year 2020 and 2023?,"162.35, 115.84", 0.11%
31,"What is the value between the grid electricity and renewable electricity scope 2 emissions of the highest average between the years 2022, 2023?",44575, 672
32,"What is the value between grid electricity, purchased and self generated renewable electricity of the lowest percentage ratio between 2021 and 2020?",89.13, 148969
33,"What is the sum between non hazardous waste and non hazardous reused waste of the averages between the years 2021, 2023?",232988, 13667
34,What is the average between direct and indirect group energy consumption of the sums between the years 2022 and 2021?,16112, 14171
35,"What are the top 2 highest values between purchased goods and downstream transportation of the sums (in ascending order) between the years 2022, 2023?","2.0, 57.0", 30
36,What are the top 2 lowest values between nmvoc and nox emissions of the percentage ratios (in descending order) between the year 2023 and 2020?,"93.75, 62.32", 36
37,"What is the value between downstream and upstream transportation of the lowest average between the years 2023, 2022?",1, 11
38,"What is the sum between the total water withdrawn except for cooling and water withdrawn for cooling of the averages between the years 2020, 2022, 2023, 2021?",2729304.75, 879602
39,"What are the top 2 lowest values between total and surface water withdrawn of the sums (in ascending order) between the years 2023, 2021?","36855.0, 3971453.0", 360033
