index,question,value,response,correct
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,26.26, 30815.23,False
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1759821.67, 60855.00,False
2,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1265617.0, 145606.00,False
3,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,354651.0, 154851.00,False
4,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,53299.67, 52966.33,False
5,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in kt?,898.52, 898.52 kt,False
6,What is the average energy consumption from 2023 to 2022 among the following companies?,485951.83, 775769.83,False
7,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,22.92, 22.92,True
8,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.07, 0.07,True
9,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.38, 0.38,True
10,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,1.32, 15.56,False
11,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1313193.0, 1112193.00,False
12,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,3044201.0, 3048201.00,False
13,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.88, 6.61,False
14,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,345650.0, 145850.00,False
15,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,0.28, 184187.10,False
16,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in tons?,898521.0, 901521.00,False
